step,train_loss,bits_used,lr,elapsed_s
10,10.08202,1,9e-06,7.17
20,9.661559,2,1.9e-05,6.94
30,9.117745,1,2.9e-05,6.93
40,8.854353,2,3.9e-05,6.97
50,8.644973,1,4.9e-05,6.9
60,8.472628,1,5.9e-05,6.96
70,8.26487,2,6.9e-05,6.88
80,8.205779,1,7.9e-05,7.06
90,7.99239,2,8.9e-05,6.89
100,7.929545,1,9.9e-05,7.09
110,7.788598,1,0.000109,6.99
120,7.72364,1,0.000119,6.84
130,7.622097,1,0.000129,6.85
140,7.643385,1,0.000139,7.02
150,7.548516,2,0.000149,6.96
160,7.554101,2,0.000159,6.76
170,7.563886,1,0.000169,7.44
180,7.531979,1,0.000179,6.13
190,7.633472,1,0.000189,6.21
200,7.573663,2,0.000199,6.5
210,7.622044,1,0.000209,7.13
220,7.603343,1,0.000219,6.49
230,7.56873,2,0.000229,6.59
240,7.560743,2,0.000239,6.48
250,7.570369,1,0.000249,7.58
260,7.599033,2,0.000259,6.59
270,7.589032,1,0.000269,6.65
280,7.597568,2,0.000279,6.63
290,7.662008,2,0.000289,6.31
300,7.663386,2,0.000299,7.03
310,7.57878,2,0.00029999,6.62
320,7.587422,1,0.00029996,6.82
330,7.601903,1,0.00029991,7.09
340,7.676481,1,0.00029985,6.68
350,7.587678,2,0.00029976,7.22
360,7.649186,2,0.00029965,6.97
370,7.643089,2,0.00029952,7.84
380,7.613368,1,0.00029937,6.97
390,7.57868,1,0.0002992,6.81
400,7.610614,1,0.00029901,6.61
410,7.673983,2,0.0002988,6.27
420,7.598933,2,0.00029856,6.27
430,7.622921,1,0.00029831,6.45
440,7.524195,1,0.00029804,6.25
450,7.63975,1,0.00029775,6.01
460,7.570374,1,0.00029744,6.4
470,7.588388,1,0.00029711,6.16
480,7.644916,1,0.00029676,5.96
490,7.654142,1,0.00029639,6.23
500,7.588732,1,0.000296,5.91
510,7.586247,2,0.00029559,17.06
520,7.572671,2,0.00029516,6.58
530,7.579183,1,0.00029471,9.14
540,7.609952,1,0.00029424,7.71
550,7.52357,1,0.00029375,6.35
560,7.559784,2,0.00029324,6.81
570,7.511085,1,0.00029271,6.9
580,7.541008,1,0.00029217,6.06
590,7.62123,2,0.0002916,6.01
600,7.549681,1,0.00029101,6.07
610,7.557716,1,0.00029041,5.99
620,7.626502,2,0.00028979,6.05
630,7.583199,1,0.00028914,6.02
640,7.562996,1,0.00028848,6.01
650,7.555295,1,0.0002878,6.07
660,7.638119,2,0.0002871,6.07
670,7.605108,1,0.00028639,6.06
680,7.570794,1,0.00028565,6.01
690,7.621901,1,0.0002849,6.06
700,7.574244,1,0.00028412,6.02
710,7.586482,1,0.00028333,5.96
720,7.585616,1,0.00028252,5.97
730,7.580323,1,0.0002817,5.96
740,7.589125,1,0.00028085,6.03
750,7.598687,1,0.00027999,5.95
760,7.577163,1,0.00027911,6.05
770,7.532982,2,0.00027821,5.96
780,7.588087,1,0.0002773,5.94
790,7.589853,1,0.00027637,5.9
800,7.501506,1,0.00027542,6.0
810,7.512794,1,0.00027445,6.02
820,7.540834,1,0.00027347,5.96
830,7.567379,1,0.00027247,5.96
840,7.614029,1,0.00027146,5.96
850,7.60335,2,0.00027042,6.6
860,7.56725,1,0.00026937,6.53
870,7.589954,1,0.00026831,6.2
880,7.566882,1,0.00026723,6.15
890,7.577394,2,0.00026613,6.27
900,7.58736,1,0.00026502,6.16
910,7.503139,1,0.00026389,6.21
920,7.556627,1,0.00026275,6.17
930,7.54564,1,0.00026159,6.13
940,7.554779,1,0.00026041,6.13
950,7.511974,2,0.00025923,6.14
960,7.503336,1,0.00025802,6.04
970,7.548297,2,0.0002568,6.04
980,7.588681,1,0.00025557,6.0
990,7.586889,1,0.00025432,6.02
1000,7.528513,1,0.00025306,6.0
1010,7.494822,1,0.00025179,15.35
1020,7.526183,1,0.0002505,6.06
1030,7.557739,1,0.0002492,5.96
1040,7.608029,2,0.00024788,6.0
1050,7.545959,2,0.00024655,6.02
1060,7.521452,1,0.00024521,5.99
1070,7.495508,1,0.00024385,6.01
1080,7.601329,1,0.00024249,6.0
1090,7.540084,1,0.00024111,5.93
1100,7.534328,1,0.00023971,5.93
1110,7.465745,2,0.00023831,5.89
1120,7.540935,1,0.00023689,5.96
1130,7.503904,1,0.00023546,6.03
1140,7.482925,1,0.00023402,5.88
1150,7.515046,1,0.00023257,5.89
1160,7.500283,1,0.00023111,5.9
