timestamp_utc,campaign_status,memory_free_pct,swapusage,processes_json
2026-07-18T20:30:19.596605+00:00,running,19,vm.swapusage: total = 3072.00M  used = 2551.38M  free = 520.62M  (encrypted),"[{""pid"":""28864"",""cpu_pct"":""0.0"",""rss_kib"":""6848"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-256/env/bin/python scripts/ptq_study.py --include-ternary""},{""pid"":""28890"",""cpu_pct"":""19.4"",""rss_kib"":""366032"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-256/env/bin/python -m src.train --config configs/ptq/ptq_baseline_s42.json""}]"
2026-07-18T20:31:19.687325+00:00,running,21,vm.swapusage: total = 3072.00M  used = 2654.94M  free = 417.06M  (encrypted),"[{""pid"":""28864"",""cpu_pct"":""0.0"",""rss_kib"":""6848"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-256/env/bin/python scripts/ptq_study.py --include-ternary""},{""pid"":""28890"",""cpu_pct"":""17.5"",""rss_kib"":""366672"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-256/env/bin/python -m src.train --config configs/ptq/ptq_baseline_s42.json""}]"
2026-07-18T20:32:19.782720+00:00,running,21,vm.swapusage: total = 3072.00M  used = 2643.25M  free = 428.75M  (encrypted),"[{""pid"":""28864"",""cpu_pct"":""0.0"",""rss_kib"":""6832"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-256/env/bin/python scripts/ptq_study.py --include-ternary""},{""pid"":""28890"",""cpu_pct"":""13.0"",""rss_kib"":""368160"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-256/env/bin/python -m src.train --config configs/ptq/ptq_baseline_s42.json""}]"
2026-07-18T20:33:19.899590+00:00,running,20,vm.swapusage: total = 3072.00M  used = 2611.25M  free = 460.75M  (encrypted),"[{""pid"":""28864"",""cpu_pct"":""0.0"",""rss_kib"":""6848"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-256/env/bin/python scripts/ptq_study.py --include-ternary""},{""pid"":""28890"",""cpu_pct"":""14.4"",""rss_kib"":""368656"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-256/env/bin/python -m src.train --config configs/ptq/ptq_baseline_s42.json""}]"
2026-07-18T20:34:20.092589+00:00,running,23,vm.swapusage: total = 3072.00M  used = 2657.19M  free = 414.81M  (encrypted),"[{""pid"":""28864"",""cpu_pct"":""0.0"",""rss_kib"":""6848"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-256/env/bin/python scripts/ptq_study.py --include-ternary""},{""pid"":""28890"",""cpu_pct"":""20.3"",""rss_kib"":""369280"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-256/env/bin/python -m src.train --config configs/ptq/ptq_baseline_s42.json""}]"
2026-07-18T20:35:20.285348+00:00,running,21,vm.swapusage: total = 3072.00M  used = 2625.19M  free = 446.81M  (encrypted),"[{""pid"":""28864"",""cpu_pct"":""0.0"",""rss_kib"":""6832"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-256/env/bin/python scripts/ptq_study.py --include-ternary""},{""pid"":""28890"",""cpu_pct"":""15.2"",""rss_kib"":""367040"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-256/env/bin/python -m src.train --config configs/ptq/ptq_baseline_s42.json""}]"
2026-07-18T20:36:20.505528+00:00,running,20,vm.swapusage: total = 3072.00M  used = 2579.12M  free = 492.88M  (encrypted),"[{""pid"":""28864"",""cpu_pct"":""0.0"",""rss_kib"":""6848"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-256/env/bin/python scripts/ptq_study.py --include-ternary""},{""pid"":""28890"",""cpu_pct"":""19.7"",""rss_kib"":""366592"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-256/env/bin/python -m src.train --config configs/ptq/ptq_baseline_s42.json""}]"
2026-07-18T20:37:20.752373+00:00,running,20,vm.swapusage: total = 3072.00M  used = 2618.62M  free = 453.38M  (encrypted),"[{""pid"":""28864"",""cpu_pct"":""0.0"",""rss_kib"":""6848"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-256/env/bin/python scripts/ptq_study.py --include-ternary""},{""pid"":""28890"",""cpu_pct"":""21.7"",""rss_kib"":""365088"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-256/env/bin/python -m src.train --config configs/ptq/ptq_baseline_s42.json""}]"
2026-07-18T20:38:20.976599+00:00,running,22,vm.swapusage: total = 3072.00M  used = 2660.75M  free = 411.25M  (encrypted),"[{""pid"":""28864"",""cpu_pct"":""0.0"",""rss_kib"":""6848"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-256/env/bin/python scripts/ptq_study.py --include-ternary""},{""pid"":""28890"",""cpu_pct"":""18.1"",""rss_kib"":""367264"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-256/env/bin/python -m src.train --config configs/ptq/ptq_baseline_s42.json""}]"
2026-07-18T20:39:21.153475+00:00,running,19,vm.swapusage: total = 3072.00M  used = 2591.75M  free = 480.25M  (encrypted),"[{""pid"":""28864"",""cpu_pct"":""0.0"",""rss_kib"":""6848"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-256/env/bin/python scripts/ptq_study.py --include-ternary""},{""pid"":""28890"",""cpu_pct"":""12.9"",""rss_kib"":""365424"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-256/env/bin/python -m src.train --config configs/ptq/ptq_baseline_s42.json""}]"
