timestamp_utc,campaign_status,memory_free_pct,swapusage,processes_json
2026-07-18T20:36:50.594787+00:00,running,25,vm.swapusage: total = 2048.00M  used = 603.19M  free = 1444.81M  (encrypted),"[{""pid"":""6585"",""cpu_pct"":""22.2"",""rss_kib"":""238320"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-512/env/bin/python -m src.train --config configs/campaign/generated/baseline-s31415.json""}]"
2026-07-18T20:37:50.671515+00:00,running,25,vm.swapusage: total = 2048.00M  used = 603.19M  free = 1444.81M  (encrypted),"[{""pid"":""6585"",""cpu_pct"":""20.1"",""rss_kib"":""244896"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-512/env/bin/python -m src.train --config configs/campaign/generated/baseline-s31415.json""}]"
2026-07-18T20:38:50.750477+00:00,running,25,vm.swapusage: total = 2048.00M  used = 603.19M  free = 1444.81M  (encrypted),"[{""pid"":""6585"",""cpu_pct"":""15.8"",""rss_kib"":""250480"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-512/env/bin/python -m src.train --config configs/campaign/generated/baseline-s31415.json""}]"
2026-07-18T20:39:50.828800+00:00,running,25,vm.swapusage: total = 2048.00M  used = 603.19M  free = 1444.81M  (encrypted),"[{""pid"":""6585"",""cpu_pct"":""22.5"",""rss_kib"":""256608"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-512/env/bin/python -m src.train --config configs/campaign/generated/baseline-s31415.json""}]"
2026-07-18T20:40:50.906745+00:00,running,25,vm.swapusage: total = 2048.00M  used = 603.19M  free = 1444.81M  (encrypted),"[{""pid"":""6585"",""cpu_pct"":""19.8"",""rss_kib"":""262224"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-512/env/bin/python -m src.train --config configs/campaign/generated/baseline-s31415.json""}]"
2026-07-18T20:41:50.984668+00:00,running,25,vm.swapusage: total = 2048.00M  used = 603.19M  free = 1444.81M  (encrypted),"[{""pid"":""6585"",""cpu_pct"":""23.6"",""rss_kib"":""266352"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-512/env/bin/python -m src.train --config configs/campaign/generated/baseline-s31415.json""}]"
2026-07-18T20:42:51.059781+00:00,running,25,vm.swapusage: total = 2048.00M  used = 603.19M  free = 1444.81M  (encrypted),"[{""pid"":""6585"",""cpu_pct"":""22.7"",""rss_kib"":""270448"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-512/env/bin/python -m src.train --config configs/campaign/generated/baseline-s31415.json""}]"
2026-07-18T20:43:51.135702+00:00,running,25,vm.swapusage: total = 2048.00M  used = 603.19M  free = 1444.81M  (encrypted),"[{""pid"":""6585"",""cpu_pct"":""23.5"",""rss_kib"":""275184"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-512/env/bin/python -m src.train --config configs/campaign/generated/baseline-s31415.json""}]"
2026-07-18T20:44:51.212816+00:00,running,25,vm.swapusage: total = 2048.00M  used = 603.19M  free = 1444.81M  (encrypted),"[{""pid"":""6585"",""cpu_pct"":""24.2"",""rss_kib"":""279904"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-512/env/bin/python -m src.train --config configs/campaign/generated/baseline-s31415.json""}]"
2026-07-18T20:45:51.288482+00:00,running,25,vm.swapusage: total = 2048.00M  used = 603.19M  free = 1444.81M  (encrypted),"[{""pid"":""6585"",""cpu_pct"":""22.1"",""rss_kib"":""284064"",""command"":""/Users/hozzy/Library/Application Support/ML-Experiments/progressive-diffusion-lm/m1-512/env/bin/python -m src.train --config configs/campaign/generated/baseline-s31415.json""}]"
